Most Probable Position(s): [(14, 9)]; Probability: 0.0139; Robot Position: (10, 1)
Most Probable Position(s): [(4, 1)]; Probability: 0.3951; Robot Position: (4, 1)
Most Probable Position(s): [(3, 1)]; Probability: 0.3913; Robot Position: (3, 1)
Most Probable Position(s): [(3, 2)]; Probability: 0.3909; Robot Position: (3, 2)
Most Probable Position(s): [(3, 1)]; Probability: 0.3114; Robot Position: (3, 1)
Most Probable Position(s): [(4, 1)]; Probability: 0.3403; Robot Position: (4, 1)
Most Probable Position(s): [(5, 1)]; Probability: 0.3319; Robot Position: (5, 1)
Most Probable Position(s): [(6, 1)]; Probability: 0.3311; Robot Position: (6, 1)
Most Probable Position(s): [(7, 1)]; Probability: 0.3113; Robot Position: (7, 1)
Most Probable Position(s): [(8, 1)]; Probability: 0.3101; Robot Position: (8, 1)
Most Probable Position(s): [(9, 1)]; Probability: 0.3515; Robot Position: (9, 1)
Most Probable Position(s): [(10, 1)]; Probability: 0.4092; Robot Position: (10, 1)
Most Probable Position(s): [(11, 1)]; Probability: 0.6135; Robot Position: (11, 1)
Most Probable Position(s): [(10, 1)]; Probability: 0.5928; Robot Position: (10, 1)
Most Probable Position(s): [(9, 1)]; Probability: 0.5598; Robot Position: (9, 1)
Most Probable Position(s): [(8, 1)]; Probability: 0.5272; Robot Position: (8, 1)
Most Probable Position(s): [(7, 1)]; Probability: 0.5001; Robot Position: (7, 1)
Most Probable Position(s): [(6, 1)]; Probability: 0.4847; Robot Position: (6, 1)
Most Probable Position(s): [(5, 1)]; Probability: 0.4649; Robot Position: (5, 1)
Most Probable Position(s): [(4, 1)]; Probability: 0.4927; Robot Position: (4, 1)
Most Probable Position(s): [(3, 1)]; Probability: 0.6813; Robot Position: (3, 1)
Most Probable Position(s): [(4, 1)]; Probability: 0.7049; Robot Position: (4, 1)
Most Probable Position(s): [(5, 1)]; Probability: 0.6691; Robot Position: (5, 1)
Most Probable Position(s): [(6, 1)]; Probability: 0.6481; Robot Position: (6, 1)
Most Probable Position(s): [(7, 1)]; Probability: 0.5946; Robot Position: (7, 1)
Most Probable Position(s): [(8, 1)]; Probability: 0.574; Robot Position: (7, 1)
Most Probable Position(s): [(9, 1)]; Probability: 0.5284; Robot Position: (8, 1)
Most Probable Position(s): [(10, 1)]; Probability: 0.4919; Robot Position: (9, 1)
Most Probable Position(s): [(11, 1)]; Probability: 0.6095; Robot Position: (9, 2)
Most Probable Position(s): [(10, 1)]; Probability: 0.6316; Robot Position: (9, 1)
Most Probable Position(s): [(9, 1)]; Probability: 0.57; Robot Position: (8, 1)
Most Probable Position(s): [(8, 1)]; Probability: 0.5239; Robot Position: (7, 1)
Most Probable Position(s): [(7, 1)]; Probability: 0.4835; Robot Position: (6, 1)
Most Probable Position(s): [(6, 1)]; Probability: 0.4534; Robot Position: (5, 1)
Most Probable Position(s): [(5, 1)]; Probability: 0.4324; Robot Position: (4, 1)
Most Probable Position(s): [(3, 1)]; Probability: 0.383; Robot Position: (3, 1)
Most Probable Position(s): [(4, 1)]; Probability: 0.5221; Robot Position: (4, 1)
Most Probable Position(s): [(5, 1)]; Probability: 0.5552; Robot Position: (5, 1)
Most Probable Position(s): [(6, 1)]; Probability: 0.5771; Robot Position: (6, 1)
Most Probable Position(s): [(7, 1)]; Probability: 0.5674; Robot Position: (7, 1)
Most Probable Position(s): [(8, 1)]; Probability: 0.5643; Robot Position: (8, 1)
Most Probable Position(s): [(9, 1)]; Probability: 0.5439; Robot Position: (9, 1)
Most Probable Position(s): [(10, 1)]; Probability: 0.5069; Robot Position: (10, 1)
Most Probable Position(s): [(11, 1)]; Probability: 0.8481; Robot Position: (11, 1)
Most Probable Position(s): [(10, 1)]; Probability: 0.7932; Robot Position: (10, 1)
Most Probable Position(s): [(9, 1)]; Probability: 0.7251; Robot Position: (9, 1)
Most Probable Position(s): [(8, 1)]; Probability: 0.6684; Robot Position: (8, 1)
Most Probable Position(s): [(7, 1)]; Probability: 0.624; Robot Position: (7, 1)
Most Probable Position(s): [(6, 1)]; Probability: 0.5925; Robot Position: (6, 1)
Most Probable Position(s): [(5, 1)]; Probability: 0.557; Robot Position: (5, 1)
Most Probable Position(s): [(4, 1)]; Probability: 0.5387; Robot Position: (4, 1)
Most Probable Position(s): [(3, 1)]; Probability: 0.5836; Robot Position: (3, 1)
Most Probable Position(s): [(3, 2)]; Probability: 0.5428; Robot Position: (3, 2)
Most Probable Position(s): [(3, 1)]; Probability: 0.4556; Robot Position: (3, 1)
Most Probable Position(s): [(4, 1)]; Probability: 0.5178; Robot Position: (4, 1)
Most Probable Position(s): [(5, 1)]; Probability: 0.501; Robot Position: (5, 1)
Most Probable Position(s): [(6, 1)]; Probability: 0.5705; Robot Position: (5, 2)
Most Probable Position(s): [(8, 1)]; Probability: 0.4308; Robot Position: (5, 1)
Most Probable Position(s): [(5, 2)]; Probability: 0.2196; Robot Position: (5, 2)
Most Probable Position(s): [(5, 3)]; Probability: 0.2604; Robot Position: (5, 2)
Most Probable Position(s): [(9, 1)]; Probability: 0.2653; Robot Position: (5, 3)
Most Probable Position(s): [(8, 1)]; Probability: 0.2455; Robot Position: (4, 3)
Most Probable Position(s): [(4, 4)]; Probability: 0.1653; Robot Position: (4, 4)
Most Probable Position(s): [(4, 5)]; Probability: 0.172; Robot Position: (4, 5)
Most Probable Position(s): [(4, 4)]; Probability: 0.2289; Robot Position: (4, 4)
Most Probable Position(s): [(4, 3)]; Probability: 0.2958; Robot Position: (4, 3)
Most Probable Position(s): [(4, 4)]; Probability: 0.3477; Robot Position: (4, 4)
Most Probable Position(s): [(4, 5)]; Probability: 0.3725; Robot Position: (4, 5)
Most Probable Position(s): [(4, 4)]; Probability: 0.4052; Robot Position: (4, 4)
Most Probable Position(s): [(4, 3)]; Probability: 0.4006; Robot Position: (4, 3)
Most Probable Position(s): [(5, 3)]; Probability: 0.4419; Robot Position: (5, 3)
Most Probable Position(s): [(4, 3)]; Probability: 0.462; Robot Position: (4, 3)
Most Probable Position(s): [(5, 3)]; Probability: 0.427; Robot Position: (5, 3)
Most Probable Position(s): [(5, 2)]; Probability: 0.5046; Robot Position: (5, 2)
Most Probable Position(s): [(5, 1)]; Probability: 0.2857; Robot Position: (5, 2)
Most Probable Position(s): [(6, 1)]; Probability: 0.2092; Robot Position: (5, 1)
Most Probable Position(s): [(6, 1)]; Probability: 0.1874; Robot Position: (5, 2)
Most Probable Position(s): [(5, 2)]; Probability: 0.2816; Robot Position: (5, 2)
Most Probable Position(s): [(5, 1)]; Probability: 0.2628; Robot Position: (5, 1)
Most Probable Position(s): [(5, 2)]; Probability: 0.3586; Robot Position: (5, 2)
Most Probable Position(s): [(10, 1)]; Probability: 0.337; Robot Position: (5, 3)
